acc_id,Loan_state,Borrower_state
﻿ACCE494478E479B420595AC71DA66831D20M,NA,NA
ACC401D1DD39B9A446A91562D78842BC6D0A,ACTIVE,ACTIVE
ACCFE09A952DF8040EAAE773FFB1AAEAB41U,ACTIVE,RISK_BLOCKED
ACC4410C5F4BC1C454A87AE5DDFB32EB71F2,ACTIVE,ACTIVE
ACCCEFF7F54B53148D6A663AAAFB27703D1P,ACTIVE,ACTIVE
ACCAA9B790B62E84773B23D670CAC32BF0DG,ACTIVE,ACTIVE
ACC8B519FC71FC2487DA4F0920151E2613DX,ACTIVE,ACTIVE
ACC2823841233A54C02B345FC0ADFB8C86FF,ACTIVE,ACTIVE
ACC0040AB5238C74612944AF4F792A4F2E8I,ACTIVE,ACTIVE
ACCE970031E8ABF46B8A55C7141622C0351B,ACTIVE,ACTIVE
ACC99216DF67ADA420083481F79AEC681094,ACTIVE,DEACTIVATED
ACCFF58CEE102944CED9164F574E8DE3E4FZ,ACTIVE,ACTIVE
ACCD4BA93EF521742B2A14F94B43FD14EBEA,ACTIVE,ACTIVE
ACC18EE1CC476C74B88BB6EC80ACFADD98FZ,ACTIVE,ACTIVE
ACC2C15C9F142DE43F0AA7F506EF06C27E26,ACTIVE,RISK_BLOCKED
ACC1CAEAC43EB96435F97D957E81AE92E4CB,ACTIVE,ACTIVE
ACC7C9AD2F4B9DF429E8F58F0D215D5BDA2V,ACTIVE,DEACTIVATED
ACC1EEC67851D3240CF8E07844CB3D1C4046,ACTIVE,ACTIVE
ACC5A304DCECF92474FA796D74E60644A31E,ACTIVE,DEACTIVATED
ACC893358D0AD5B4C63BD1A6C8312F430F4L,ACTIVE,ACTIVE
ACC959A7E2D71E847AF9553C119EFCCD0D1X,ACTIVE,ACTIVE
ACC25C1C916AB5C4035A74C632FDD055DF7Z,ACTIVE,ACTIVE
ACC8B1ABD14B9D747219B47904FE43E0BDBR,NA,NA
ACC140D6FF82CC94548AFFC6D666A728A65M,ACTIVE,ACTIVE
ACC97A597FA45E84453A97BA236D270479FP,ACTIVE,ACTIVE
ACC248E6D42B89A40829360110FA799301B3,ACTIVE,ACTIVE
ACCC468F92257B44149B6257F4D8E47BFC0V,ACTIVE,ACTIVE
ACCBEC847F32084496E94797D42DE5C7D161,ACTIVE,ACTIVE
ACCA8942D3C52364091A075A5BCC7626B2CO,ACTIVE,ACTIVE
ACC61B421B1365A4815BEB10D2C173E1B45G,ACTIVE,ACTIVE
ACCD117935CA62E400BA3953BF1CAF9C119Y,ACTIVE,ACTIVE
