acc_id,currentUsage
ACC8CD8AED244594859A2300663DFBF6C202,0
ACC683D5A2D6E2E41D2A0510D07ED5BE3EED,0
ACC6D0AAD73249243DF97E32827D329DCF9U,0
ACC86C42C7F5C0249558448BF264B8C24EF7,0
ACC4F2832CFD64341F5822E028756737849L,0
ACC56CF4D38E31942DF9CBF2F73B61A2F8BQ,-381.82
ACC7EC767C80B874C60BBDDC9A5DDD4BE1BR,NA
ACC13808707780288214,0
ACCAD006CB0047B413A8659613708BF3C1AU,0
ACC934AF5A519F64539B2976A87F8957C926,0
ACCD150B5C9323A4B87A3EB99910A408BC1G,0
ACC8CD8AED244594859A2300663DFBF6C202,0
ACCD10D941FD6334B69AA85D88B2A0C3912E,10621.55
ACC683D5A2D6E2E41D2A0510D07ED5BE3EED,0
ACC13882230308925674,0.82
ACC6D0AAD73249243DF97E32827D329DCF9U,0
ACC4E1BB29A8D1A4C9993B24A7D1EAEFE27G,0
ACCCAA5F598327243F6A3ABC57037211054X,0
ACCE858BD7EE2E7474CAA55A8E9F2E9B5ACH,0
ACC77490E986E6941EFA309BA7A43DB7BC9T,58327.09
ACC71FE931D6EB64CCD8DB9BCCAF8F8DB7A4,0
ACC86C42C7F5C0249558448BF264B8C24EF7,0
ACC1C6A68D3350B4670B39E815A87A5C7ECP,2613
ACC14202759382711195,0
ACC4F2832CFD64341F5822E028756737849L,0
ACC56CF4D38E31942DF9CBF2F73B61A2F8BQ,-381.82
ACCAF7DB6C547A94CB5ADDBACB846699520P,0
ACCBAA273C240AF4192A7083ECB05B404259,1750.71
ACC34869DE39F1A4853AD84023CBC1B827DD,0
ACC6CD79A92B9534781A65012E2DF206404O,0
ACC92BA922957694E568E7B3A88B58F891B7,-368.84
ACC7EC767C80B874C60BBDDC9A5DDD4BE1BR,NA
ACC14086117419953794,0
ACC13808707780288214,0
ACCAD006CB0047B413A8659613708BF3C1AU,0
ACCBDACFCA924FD48FB902BDDDED1AB9FCES,0
ACC2DEEBCDB1FF042108D6A246621578C7DB,49912.06
ACC934AF5A519F64539B2976A87F8957C926,0
ACC20AD57462EBD4BA2A0E3F84DF1C40189T,0
ACCD150B5C9323A4B87A3EB99910A408BC1G,0
ACCD5BD6A74D06C4D699ACBFC3DB4536E88N,32446.6
