Exact_Issue_Type,Group_SSI,Status_Group,ExactStatus,Ageing_OR_Q2R_Bucket,is_Fav,incident_id,dashboard_date
Amount Debited Order Not Confirmed,amount_debited_order_not_confirmed,Open,ReOpenByL2,e. 120+ Hrs,Fav,2,26-May-2024
Amount Paid To IDFC,amount__paid_to_idfc,Open,ReOpen,c. 49-72 Hrs,UnFav,7,26-May-2024
Amount Paid To IDFC,amount__paid_to_idfc,Open,ReOpen,d. 73-120 Hrs,UnFav,11,26-May-2024
Amount Paid To IDFC,amount__paid_to_idfc,Open,ReOpen,e. 120+ Hrs,UnFav,42,26-May-2024
Amount Paid To IDFC,amount__paid_to_idfc,Open,ReOpenByL2,c. 49-72 Hrs,UnFav,7,26-May-2024
Amount Paid To IDFC,amount__paid_to_idfc,Open,ReOpenByL2,d. 73-120 Hrs,UnFav,39,26-May-2024
Amount Paid To IDFC,amount__paid_to_idfc,Open,ReOpenByL2,e. 120+ Hrs,UnFav,128,26-May-2024
Amount Paid To IDFC,amount__paid_to_idfc,Solved,Solved,b. 25-48 Hrs,UnFav,1,26-May-2024
Amount Paid To IDFC,amount__paid_to_idfc,Solved,Solved,c. 49-72 Hrs,UnFav,1,26-May-2024
Amount Paid To IDFC,amount__paid_to_idfc,Solved,Solved,d. 73-120 Hrs,UnFav,1,26-May-2024
Amount Paid To IDFC,amount__paid_to_idfc,Solved,Solved,e. 120+ Hrs,UnFav,6,26-May-2024
Billing Issue - Explanation needed,billing_issue_explanation_needed,Solved,Solved,c. 49-72 Hrs,Fav,1,26-May-2024
CIBIL Issue,cibil_issue,Open,ReOpenByL2,e. 120+ Hrs,UnFav,1,26-May-2024
Deactivation in progress >7 Days,deactivation_in_progress_since_more_than_7_days,Solved,Solved,b. 25-48 Hrs,Fav,4,26-May-2024
Mismatch In Bill,mismatch_in_bill,Open,ReOpen,d. 73-120 Hrs,Fav,2,26-May-2024
Mismatch In Bill,mismatch_in_bill,Open,ReOpenByL2,d. 73-120 Hrs,Fav,1,26-May-2024
Mismatch In Bill,mismatch_in_bill,Open,ReOpenByL2,e. 120+ Hrs,Fav,19,26-May-2024
Mismatch In Bill,mismatch_in_bill,Solved,Solved,d. 73-120 Hrs,Fav,5,26-May-2024
Mismatch In Bill,mismatch_in_bill,Solved,Solved,e. 120+ Hrs,Fav,4,26-May-2024
Recharge Related,recharge_related,Open,ReOpen,e. 120+ Hrs,Fav,3,26-May-2024
Recharge Related,recharge_related,Open,ReOpenByL2,e. 120+ Hrs,Fav,6,26-May-2024
Refund Related Issue,refund_not_processed,Open,ReOpenByL2,e. 120+ Hrs,Fav,14,26-May-2024
Refund Related Issue,refund_not_processed,Solved,Solved,d. 73-120 Hrs,Fav,2,26-May-2024
account_hacked_ato,account_hacked_ato,Open,ReOpen,c. 49-72 Hrs,UnFav,1,26-May-2024
account_hacked_ato,account_hacked_ato,Open,ReOpen,e. 120+ Hrs,UnFav,1,26-May-2024
