acc_id,skyler_minimumDueAmount,skyler_statementDueDate,skyler_stmtAmount
AC2JAWU3G1ZPEE3C6XUYA0260NGUX8PW,0.0,2024-05-05 23:59:59,0
ACC14127600834295260,-8892.73,2024-05-05 23:59:59,-8892.73
ACC0C21CD7053CE4A26AA359118E4CC9A1AL,0.0,2024-05-05 23:59:59,0
ACCE3F0672222F34EFFB908E3D052872AFF5,3703.0,2024-05-05 23:59:59,3703.0
ACCE4FBCC2700E045F79FE3FEC7C10EBBA8N,-11160.68,2024-05-05 23:59:59,-11160.68
ACCF617ED80F80F4CEB803E682E2EBB4E55E,0.0,2024-05-05 23:59:59,0
ACC5D3B43E8521C4814942439F025787B0BY,0.0,2024-05-05 23:59:59,0
ACC399BAD70FC3A4857BD558CFF444118B8N,60.0,2024-05-01 00:00:00,613.0
ACC697557B463804757B416848908CACD5AZ,12772.87,2024-05-01 00:00:00,12772.87
ACCB3132866B72F40DDA3684029391B6856E,0.0,2024-05-05 23:59:59,0
ACCA9E0AEEAD34148B694A8D2596CB4FBE1C,0.0,2024-05-01 00:00:00,0
ACC627A3BCF832B4AA59C58753F45448A0AV,0.0,2024-05-05 23:59:59,0
ACC7EF7153E7D9649BDAC155E0138764A1FB,0.0,2024-05-05 23:59:59,0
ACC14201329480831379,2596.0,2024-05-01 00:00:00,7266.0
ACCC30F21F22F7C4F44A01D6FFB2FE72C34A,2032.0,2024-05-05 23:59:59,2032.0
ACCBCE83636CFF947359EEC7889F05784DDZ,0.0,2024-05-01 00:00:00,0
ACCE82210E07F9A41EAA5235E89A38924621,0.0,2024-05-05 23:59:59,0
ACCE1067D2D0C504866B20EC448C18B434DD,4149.0,2024-05-01 00:00:00,4149.0
ACCB83A032EE06F43459410F27F73DDB593Y,15053.4,2024-05-01 00:00:00,15053.4
