parent_pzt,pzt_id,you_pay_amount,txn_time,merchant_id,txn_type,status,merchant_status,response_code,response_message,payment_instrument
PZT2401311834631VH00,PZT2401311834631VH01,1500,2024-01-31 18:35:08,rcbp_flipkart,SALE,SUCCESS,CAPTURED,SUCCESS,NA,COIN
PZT2401311834631VH00,PZT2401311834631VH02,42400,2024-01-31 18:35:08,rcbp_flipkart,SALE,SUCCESS,CAPTURED,SUCCESS,NA,UPI_INTENT
PZT2401302223LQRVV00,PZT2401302223LQRVV01,40400,2024-01-30 22:23:59,mp_flipkart,SALE,SUCCESS,CAPTURED,SUCCESS,NA,COD
PZT2402040717PADPU00,PZT2402040717PADPU01,500,2024-02-04 07:17:30,rcbp_flipkart,SALE,SUCCESS,INVALIDATED,SUCCESS,NA,COIN
PZT2402040717PADPU00,PZT2402040717PADPU02,500,2024-02-04 07:17:30,rcbp_flipkart,SALE,SUCCESS,INVALIDATED,SUCCESS,NA,PHONEPE
PZT2402052149Y4G4200,PZT2402052149Y4G4201,1000,2024-02-05 21:49:08,rcbp_flipkart,SALE,SUCCESS,CAPTURED,SUCCESS,NA,COIN
PZT2402052149Y4G4200,PZT2402052149Y4G4202,22900,2024-02-05 21:49:08,rcbp_flipkart,SALE,SUCCESS,CAPTURED,SUCCESS,NA,PHONEPE
PZT2402052318UPQZE00,PZT2402052318UPQZE01,1000,2024-02-05 23:18:11,rcbp_flipkart,SALE,SUCCESS,CAPTURED,SUCCESS,NA,COIN
PZT2402052318UPQZE00,PZT2402052318UPQZE02,500,2024-02-05 23:18:11,rcbp_flipkart,SALE,SUCCESS,CAPTURED,SUCCESS,NA,UPI_INTENT
PZT2402050222DUYKD00,PZT2402050222DUYKD02,500,2024-02-05 02:22:34,rcbp_flipkart,SALE,SUCCESS,CAPTURED,SUCCESS,NA,PHONEPE
PZT2402050222DUYKD00,PZT2402050222DUYKD01,500,2024-02-05 02:22:33,rcbp_flipkart,SALE,SUCCESS,CAPTURED,SUCCESS,NA,COIN
